Major area, region, country or area *	Country code	2000
Montserrat	500	4.956
Puerto Rico	630	3796.981
Saint Kitts and Nevis	659	45.544
Saint Lucia	662	156.949
Saint Vincent and the Grenadines	670	107.897
Sint Maarten (Dutch part)	534	31.820
Trinidad and Tobago	780	1267.980
Turks and Caicos Islands	796	18.876
United States Virgin Islands	850	108.511
Central America	916	138780.471
Belize	84	247.312
Costa Rica	188	3925.450
El Salvador	222	5811.836
Guatemala	320	11688.660
Honduras	340	6243.080
Mexico	484	102808.590
Nicaragua	558	5026.792
Panama	591	3028.751
South America	931	349795.657
Argentina	32	37057.453
Bolivia (Plurinational State of)	68	8339.512
Brazil	76	175786.441
Chile	152	15170.387
Colombia	170	40403.959
Ecuador	218	12628.596
Falkland Islands (Malvinas)	238	2.881
French Guiana	254	163.162
Guyana	328	742.218
Paraguay	600	5302.703
Peru	604	25914.875
Suriname	740	480.751
Uruguay	858	3321.242
Venezuela (Bolivarian Republic of)	862	24481.477
NORTHERN AMERICA	905	313724.124
Bermuda	60	64.035
Canada	124	30701.903
Greenland	304	56.174
Saint Pierre and Miquelon	666	6.271
United States of America	840	282895.741
OCEANIA	909	31067.620
Australia/New Zealand	927	22965.485
Australia	36	19107.251
New Zealand	554	3858.234
Melanesia	928	6992.665
Fiji	242	811.223
New Caledonia	540	209.997
Papua New Guinea	598	5374.051
Solomon Islands	90	412.336
Vanuatu	548	185.058
Micronesia	954	496.975
Guam	316	155.328
Kiribati	296	84.406
Marshall Islands	584	52.161
Micronesia (Fed. States of)	583	107.430
Nauru	520	10.042
Northern Mariana Islands	580	68.434
Palau	585	19.174
Polynesia	957	612.495
American Samoa	16	57.522
Cook Islands	184	17.826
French Polynesia	258	237.267
Niue	570	1.900
Samoa	882	174.614
Tokelau	772	1.552
Tonga	776	97.898
Tuvalu	798	9.419
Wallis and Futuna Islands	876	14.497
